LINK_ID,REGION,ROAD_TYPE,node_start,eastings_start,northings_start,wgsLat_start,wgsLong_start,location_lv1_eng_start,location_lv1_chin_start,location_lv2_eng_start,location_lv2_chin_start,location_lv3_eng_start,location_lv3_chin_start,location_lv4_eng_start,location_lv4_chin_start,location_lv5_eng_start,location_lv5_chin_start,full_location_eng_start,full_location_chin_start,node_end,eastings_end,northings_end,wgsLat_end,wgsLong_end,location_lv1_eng_end,location_lv1_chin_end,location_lv2_eng_end,location_lv2_chin_end,location_lv3_eng_end,location_lv3_chin_end,location_lv4_eng_end,location_lv4_chin_end,location_lv5_eng_end,location_lv5_chin_end,full_location_eng_end,full_location_chin_end,non_col,route_lat,route_long,detailed_route_lat,detailed_route_long
46497-8111,HK,MAJOR ROUTE,46497,837944.3387,816940.4113,22.291371978,114.193141596,Central Wan Chai Bypass,中環及灣仔繞道,Fortress Hill,炮台山,North Point,北角,Hong Kong Island,香港島,Eastern District,東區,Central Wan Chai BypassFortress HillNorth PointHong Kong IslandEastern District,東區香港島北角炮台山中環及灣仔繞道,8111,837944.3387,816940.4113,22.291371978,114.193141596,Central Wan Chai Bypass,中環及灣仔繞道,Fortress Hill,炮台山,North Point,北角,Hong Kong Island,香港島,Eastern District,東區,Central Wan Chai BypassFortress HillNorth PointHong Kong IslandEastern District,東區香港島北角炮台山中環及灣仔繞道,,"[22.291371978, 22.291371978]","[114.193141596, 114.193141596]","[22.291728, 22.291647, 22.291426, 22.290841]","[114.193472, 114.19337, 114.193121, 114.192475]"
46498-46491,HK,MAJOR ROUTE,46498,838036.0555,817048.3293,22.292346453,114.19403173799999,Central Wan Chai Bypass,中環及灣仔繞道,Fortress Hill,炮台山,North Point,北角,Hong Kong Island,香港島,Eastern District,東區,Central Wan Chai BypassFortress HillNorth PointHong Kong IslandEastern District,東區香港島北角炮台山中環及灣仔繞道,46491,838061.3574,817064.4445,22.292491958000003,114.194277289,Central Wan Chai Bypass,中環及灣仔繞道,Fortress Hill,炮台山,North Point,北角,Hong Kong Island,香港島,Eastern District,東區,Central Wan Chai BypassFortress HillNorth PointHong Kong IslandEastern District,東區香港島北角炮台山中環及灣仔繞道,,"[22.292346453, 22.292491958000003]","[114.19403173799999, 114.194277289]","[22.292323, 22.292469]","[114.194048, 114.194293]"
46499-818,HK,MAJOR ROUTE,46499,838087.2239,817079.6301,22.292629066,114.194528317,Central Wan Chai Bypass,中環及灣仔繞道,Fortress Hill,炮台山,North Point,北角,Hong Kong Island,香港島,Eastern District,東區,Central Wan Chai BypassFortress HillNorth PointHong Kong IslandEastern District,東區香港島北角炮台山中環及灣仔繞道,818,838881.248,817243.8840000002,22.294111357,114.202233889,Island Eastern Corridor,東區走廊,Tsat Tsz Mui,七姊妹,North Point,北角,Hong Kong Island,香港島,Eastern District,東區,Island Eastern CorridorTsat Tsz MuiNorth PointHong Kong IslandEastern District,東區香港島北角七姊妹東區走廊,,"[22.292629066, 22.294111357]","[114.194528317, 114.202233889]","[22.292617, 22.292813, 22.292936, 22.292973, 22.29313, 22.29313, 22.293384, 22.293479, 22.293519, 22.293533, 22.293556, 22.293564, 22.293573, 22.293584, 22.293599, 22.29362, 22.294106, 22.294095, 22.294107]","[114.194541, 114.194903, 114.195318, 114.195443, 114.196132, 114.196132, 114.197479, 114.197934, 114.19816, 114.19829, 114.198536, 114.198916, 114.199428, 114.199606, 114.199797, 114.199925, 114.202033, 114.202158, 114.20223]"
4650-3651,HK,MAJOR ROUTE,4650,839919.319,816768.747,22.289818685,114.21230647600001,Eastern Harbour Crossing,東區海底隧道,Food and Environmental Hygiene Department Quarry Bay Depot,食物環境衞生署鰂魚涌車房,Cha Kwo Ling,茶果嶺,Kowloon,九龍,Kwun Tong District,觀塘區,Eastern Harbour CrossingFood and Environmental Hygiene Department Quarry Bay DepotCha Kwo LingKowloonKwun Tong District,觀塘區九龍茶果嶺食物環境衞生署鰂魚涌車房東區海底隧道,3651,841880.892,817878.688,22.299836861,114.231345315,Eastern Harbour Crossing,東區海底隧道,Cheung Lung Tin,長龍田,Cha Kwo Ling,茶果嶺,Kowloon,九龍,Kwun Tong District,觀塘區,Eastern Harbour CrossingCheung Lung TinCha Kwo LingKowloonKwun Tong District,觀塘區九龍茶果嶺長龍田東區海底隧道,,"[22.289818685, 22.299836861]","[114.21230647600001, 114.231345315]","[22.289811, 22.289828, 22.289915, 22.289991, 22.290061, 22.290112, 22.290161, 22.290256, 22.290368, 22.290407, 22.29063, 22.290921, 22.291283, 22.291998, 22.292668, 22.293514, 22.295232, 22.295343, 22.297358, 22.298437, 22.298966, 22.299352, 22.299761]","[114.212321, 114.21234, 114.212455, 114.212583, 114.212735, 114.21286, 114.212964, 114.213176, 114.213417, 114.213497, 114.213928, 114.214492, 114.215153, 114.2165, 114.217847, 114.219536, 114.222893, 114.223107, 114.226869, 114.228939, 114.229951, 114.230699, 114.231391]"
4651-4631,HK,MAJOR ROUTE,4651,836884.007,816087.665,22.28367185,114.182851773,Cross Harbour Tunnel,海底隧道,Causeway Bay,銅鑼灣,Wan Chai District,灣仔區,Central District,中區,Hong Kong Island,香港島,Cross Harbour TunnelCauseway BayWan Chai DistrictCentral DistrictHong Kong Island,香港島中區灣仔區銅鑼灣海底隧道,4631,836599.8359999999,818132.3470000002,22.302136683,114.18009474899999,Cross Harbour Tunnel Administration Building,海底隧道行政大樓,Cheong Wan Road,暢運道,Hung Hom Bay,紅磡灣,Tsim Sha Tsui,尖沙咀,Yau Tsim Mong District,油尖旺區,Cross Harbour Tunnel Administration BuildingCheong Wan RoadHung Hom BayTsim Sha TsuiYau Tsim Mong District,油尖旺區尖沙咀紅磡灣暢運道海底隧道行政大樓,,"[22.28367185, 22.302136683]","[114.182851773, 114.18009474899999]","[22.283678, 22.283847, 22.284014, 22.284148, 22.28431, 22.284466, 22.284695, 22.299135, 22.299231, 22.299907, 22.300115, 22.300926, 22.30106, 22.30135, 22.301556, 22.30169, 22.301829, 22.302025, 22.302135]","[114.18285, 114.182952, 114.183018, 114.183054, 114.18309, 114.183102, 114.183102, 114.180661, 114.180642, 114.180528, 114.180485, 114.180342, 114.180311, 114.18022, 114.180142, 114.180097, 114.180072, 114.180056, 114.180067]"
4652-4633,HK,MAJOR ROUTE,4652,833101.677,816778.1009999998,22.289904135,114.146148572,Sheung Wan,上環,Central and Western District,中西區,Sai Wan,西環,Hong Kong Island,香港島,Hong Kong,香港,Sheung WanCentral and Western DistrictSai WanHong Kong IslandHong Kong,香港香港島西環中西區上環,4633,834364.207,818290.7309999998,22.303565974,114.158398284,Western Harbour Crossing,西區海底隧道,West Kowloon,西九龍,Yau Ma Tei,油麻地,Yau Tsim Mong District,油尖旺區,Kowloon,九龍,Western Harbour CrossingWest KowloonYau Ma TeiYau Tsim Mong DistrictKowloon,九龍油尖旺區油麻地西九龍西區海底隧道,,"[22.289904135, 22.303565974]","[114.146148572, 114.158398284]","[22.289911, 22.289998, 22.290192, 22.298103, 22.299466, 22.300957, 22.301088, 22.301241, 22.301483, 22.302779, 22.303294, 22.30358]","[114.146148, 114.146253, 114.146451, 114.153715, 114.154948, 114.156337, 114.156454, 114.156595, 114.156819, 114.157804, 114.158169, 114.158366]"
50018-760,HK,MAJOR ROUTE,50018,835747.625,815588.61,22.279165101,114.17182505,Gloucester Road,告士打道,Wan Chai North,灣仔北,Wan Chai,灣仔,Wan Chai District,灣仔區,Central District,中區,Gloucester RoadWan Chai NorthWan ChaiWan Chai DistrictCentral District,中區灣仔區灣仔灣仔北告士打道,760,835602.186,815600.695,22.279274186,114.17041382299999,Gloucester Road,告士打道,Wan Chai North,灣仔北,Wan Chai,灣仔,Wan Chai District,灣仔區,Central District,中區,Gloucester RoadWan Chai NorthWan ChaiWan Chai DistrictCentral District,中區灣仔區灣仔灣仔北告士打道,,"[22.279165101, 22.279274186]","[114.17182505, 114.17041382299999]","[22.279185, 22.279197, 22.27926, 22.27928, 22.279282, 22.279283]","[114.171821, 114.171468, 114.170735, 114.170486, 114.170435, 114.170419]"
50019-50018,HK,MAJOR ROUTE,50019,835803.901,815589.0079999998,22.279168711,114.172371107,Gloucester Road,告士打道,Wan Chai North,灣仔北,Wan Chai,灣仔,Wan Chai District,灣仔區,Central District,中區,Gloucester RoadWan Chai NorthWan ChaiWan Chai DistrictCentral District,中區灣仔區灣仔灣仔北告士打道,50018,835747.625,815588.61,22.279165101,114.17182505,Gloucester Road,告士打道,Wan Chai North,灣仔北,Wan Chai,灣仔,Wan Chai District,灣仔區,Central District,中區,Gloucester RoadWan Chai NorthWan ChaiWan Chai DistrictCentral District,中區灣仔區灣仔灣仔北告士打道,,"[22.279168711, 22.279165101]","[114.172371107, 114.17182505]","[22.279184, 22.279182, 22.279176, 22.279185]","[114.17237, 114.172354, 114.172092, 114.171826]"
50045-50049,HK,MAJOR ROUTE,50045,833566.6109999998,816541.012,22.287763863000002,114.15066065799999,Rumsey Street Flyover,林士街天橋,SoHo,,Sheung Wan,上環,Central District,中區,Central and Western District,中西區,Rumsey Street FlyoverSoHoSheung WanCentral DistrictCentral and Western District,中西區中區上環林士街天橋,50049,833323.3509999998,816607.564,22.288364470999998,114.148299994,Connaught Road West Flyover,干諾道西天橋,Mid Levels West,西半山,Sheung Wan,上環,Central and Western District,中西區,Central District,中區,Connaught Road West FlyoverMid Levels WestSheung WanCentral and Western DistrictCentral District,中區中西區上環西半山干諾道西天橋,,"[22.287763863000002, 22.288364470999998]","[114.15066065799999, 114.148299994]","[22.287766, 22.287859, 22.288049, 22.28808, 22.288296, 22.288342, 22.288344]","[114.150656, 114.150335, 114.149561, 114.149445, 114.148496, 114.148311, 114.148301]"
50048-893,HK,MAJOR ROUTE,50048,833272.432,816617.2270000002,22.288451647,114.147805867,Connaught Road West Flyover,干諾道西天橋,Mid Levels West,西半山,Sheung Wan,上環,Central and Western District,中西區,Central District,中區,Connaught Road West FlyoverMid Levels WestSheung WanCentral and Western DistrictCentral District,中區中西區上環西半山干諾道西天橋,893,832738.968,816762.428,22.289761895,114.14262890399999,,,Sai Ying Pun,西營盤,Central and Western District,中西區,Sai Wan,西環,Hong Kong Island,香港島,Sai Ying PunCentral and Western DistrictSai WanHong Kong Island,香港島西環中西區西營盤,,"[22.288451647, 22.289761895]","[114.147805867, 114.14262890399999]","[22.288424, 22.288483, 22.288535, 22.28863, 22.288624, 22.288627, 22.288814, 22.288834, 22.288848, 22.288854, 22.288846, 22.288803, 22.288823, 22.28887, 22.288903, 22.28894, 22.289018, 22.289092, 22.289126, 22.289194, 22.289271, 22.289322, 22.289416, 22.289529, 22.289639, 22.289757, 22.28987, 22.289964, 22.290066, 22.290141, 22.290201, 22.29026, 22.290311, 22.290348, 22.290371, 22.290378, 22.290371, 22.290352, 22.290315, 22.290258, 22.290095, 22.290097, 22.289773]","[114.147797, 114.147344, 114.146877, 114.145824, 114.145373, 114.145262, 114.14342, 114.143163, 114.142927, 114.142512, 114.142118, 114.141804, 114.141321, 114.141041, 114.140943, 114.14087, 114.140745, 114.140657, 114.140625, 114.140571, 114.140521, 114.140497, 114.140469, 114.140449, 114.140445, 114.140461, 114.140493, 114.140535, 114.140602, 114.140671, 114.140744, 114.140829, 114.140931, 114.141035, 114.141152, 114.141269, 114.141379, 114.141489, 114.141601, 114.141761, 114.142035, 114.142099, 114.142631]"
